"COMPETITOR NAMES, as at 11:00AM on Thursday 17th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
46 (_),13:55,53,Mx D-F 8+,final,A,"Amanda Johnstone, Lisa Hale, Mark Edgecombe, Dave Derecourt, Stephen Porteners, Richard Rennie, Lena Cassidy-Clark, Debbie Rowe, Grace Iremonger, Richard May, Michael Instone, Jo-Anne Stokes, Deidre Sheppard, Derek Wanders, Myles Johnson, Lynda Jelbert, Maria Chandler, Isaac Jelbert, Paul Middleditch, Simon Carey, Simon Taylor, Paul Johnston, Kathryn Sigley, Sarah Middleditch, Nicki McGuigan, Ella Keys, Hikaru Toyama, Catherine Kappelle, Amandine Frezouls, Amanda Richards, Liz Jarmey, Richard Moir, Valentin Frezouls, Chas Todhunter, Andreas Giannakogiorgos, Kelly Lavalley, Susan Reade, Tamara Tesolin, Robert Young, Bryan Beardshaw, Evan Brown, Attila Karpati, Joanne Waller, Raechel Cummins, Cathy Stinear, Lynaree Burns, Alice Beban-France, Heidi Oliver, Benita Douglas, Scott Griffin, Mark Swinburne, Miles McBain, Gerry Steenkamer, Debbie Sunnex"
47 (_),14:30,57,M Mst F 2-,final,A,"Robert Young, Bryan Beardshaw, Guy Aitchison, Greg Vanderpeet, Kelvin Maker, Peter Fraser"
48 (_),14:35,58,M Mst E 1X,final,A,"Steve Glen, Martin Sharrock, Steve Westlake, David Harris, Ger Sheehan"
49 (_),14:40,60,W Mst E 1X,final,A,"Jan Goddard, Jo Mackay"
50 (_),14:45,62,M G-M 2-,final,A,"Gordon Williams, Chris Brake, Chris Fotherby, John de Pont, Kevin Horan, Bruce Tate, Kerry Dombroski, Dave Hanley"
51 (_),14:50,63,W MNw 1X,final,A,"Maryam Naminimianji, Sophia Bidwell, Hikaru Toyama, Naomi Carter, Vanessa Mace"
52 (_),14:55,64,W MNv 2X,final,A,"Hayley Tamati, Emma Lowe, Susan Lands, Claudia Hellberg, Karen Billinghurst, Tracey McMillan, Rebecca Jones, Amanda Johnstone, Amanda Taylor, Kimberley Jenkinson, Emily Henderson, Lauren Elizabeth, Faith McGregor, Anna Loftus"
53 (_),15:05,61,W Mst G 4X-,final,A,"Yvonne Kasper, Carolyn Harrison, Sarah Sinclair, Marleen Cleyndert"
53 (_),15:05,65,Mx E-M 4-,final,A,"Bruce Wills, Nick Hanna, Jennifer Nolan, Jacqui Beilby, Elizabeth Cossar, Derek Wanders, Myles Johnson, Maria Chandler, Felicity Newport, Jane Dee, John Hitchcock, Menno van der Laan, Greg Vanderpeet, Lynaree Burns, Mark Swinburne, Debbie Sunnex, Catherine Kappelle, Liz Jarmey, Chas Todhunter, Scott Inglis"
54 (_),15:10,66,W H-M 2X,final,A,"Judy Shadbolt, Alison McLeod, Trish Fenton, Sue Wright"
55 (_),15:15,67,Mx A-D 4-,division,1,"Jaedyn Thompson, Josh Adam, Adam Howie, Stacey Wyatt, Alice Kalmancsi, Eve Mulder, Daniel Norman, Scott Griffin, Natasha Baldwin, Caroline Robertson, Rory Whitfield, Andrew Bealing, Julie Samuelson, Luke Edhouse, Nicholas Dawe, Kristy Edhouse"
56 (_),15:20,67,Mx A-D 4-,division,2,"Adrienne Edwards, Jane Higgins, Richard Moir, Valentin Frezouls, Ella Keys, Simon Taylor, Simon Carey, Nicki McGuigan, Alice Beban-France, Benita Douglas, Gerry Steenkamer, Miles McBain, Paul Johnston, Paul Middleditch, Sarah Middleditch, Kathryn Sigley, Rose Lampen-Smith, Inge Morton, Nathan Reeve, Mladen Macanovic"
57 (_),15:25,68,M MNw 1X,final,A,"Pita Shelford, Ian Winson, Wayne Bickers, Evans Chogumaira, Andrew Webster, Mulle Arndt, Glen Strachan"
58 (_),15:30,69,M MNv 2X,final,A,"Wiebe Baron, Parkwai Mak, Josh Kempthorne, Michael Instone, Stuart Fraser, Quentin de Groot"

DAY 2: Sunday 20th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
59 (_),08:30,73,Mx D-F 2X,division,1,"Jane Dee, Dave Hanley, Jane Higgins, Richard Moir, Raewynn White, Greg Vanderpeet, Sharon Bray, Steve Westlake, Derek Wanders, Deidre Sheppard, Paula Pope, Myles Johnson"
60 (_),08:36,73,Mx D-F 2X,division,2,"Michelle Reaks, Jerome Feuillade, Amanda Richards, Scott Inglis, Vanessa Mace, Phillip Lee, Leona Walpert, Menno van der Laan, Sylvain Livernois, Helen Garland, Mladen Macanovic, Inge Morton, Tim Russell, Stacey Wyatt"
61 (_),08:42,73,Mx D-F 2X,division,3,"Debbie Rowe, Richard Rennie, Julie Glen, Steve Glen, Sarah Sinclair, Andrew Webster, Colin Wright, Jane McGimpsey, Kris Jochimsen, Evan Brown, Paul Isitt, Trish Rice, John Hitchcock, Felicity Newport"
62 (_),08:48,73,Mx D-F 2X,division,4,"Benita Douglas, Gerry Steenkamer, Kevin O'Hagan, Louise O'Hagan, Michelle de Jong, Guy Aitchison, Raima Turner-Abrahams, David Harris, Trudy Moulden, Richie McFelin, Joanne Waller, Bryan Beardshaw"
63 (_),08:54,74,M MNw 2X,final,A,"Riaan van Greuning, Bradley Taylor, Pita Shelford, Garritt van Dyk, Glen Strachan, Nathan Reeve, Hugh Ritchie, Wayne Bickers, Simon Harper, Evans Chogumaira, Wade Vivian, Matt Bailey"
64 (_),09:00,77,W Mst B 2X,final,A,"Constanze Duell, Jill Edwards, Tanya McDermott, Karen Verwey, Kylee Corboy, Amy Robson, Sarah Brennan, Nicola Goss"
64 (_),09:00,79,W G-M 2-,final,A,"Trish Fenton, Sue Wright, Judy Shadbolt, Alison McLeod"
65 (_),09:06,78,W Mst C 4X-,final,A,"Eleanor Chichester, Ange Rogers, Jacinda Allwood, Elizabeth Cossar, Vanessa Mace, Karen Lawry, Maryam Naminimianji, Claudia Hellberg, Rachel Lockwood, Tracey McMillan, Stacey Bax, Belle Woods, Sophia Bidwell, Kelly Lavalley, Carmen Lammerding, Catherine Kappelle, Lisa Hale, Amanda Johnstone, Rebecca Jones, Lena Cassidy-Clark, Sarah Middleditch, Ella Keys, Kathryn Sigley, Nicki McGuigan, Caroline Robertson, Leona Walpert, Natasha Baldwin, Jane Dee, Alex Hunter, Emily Henderson, Lauren Elizabeth, Helen Moore, Susan Sawbridge, Gabrielle Gatt, Helen Twose, Jo Mackay"
66 (_),09:12,76,W Mst A 4X-,final,A,"Emilee Butler, Lucy Catherine Mitchell, Danni Blizzard, Anna Quartero"
