"COMPETITOR NAMES, as at 6:21AM on Thursday 24th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
32 (F),12:10,38,Mx A-C 4X-,division,2,"Eleanor Chichester, Myles Johnson, Michael Instone, Jacinda Allwood, Amandine Frezouls, Amanda Richards, Scott Inglis, Valentin Frezouls, Kathryn Sigley, Simon Carey, Steve Glen, Nicki McGuigan, Kelly Lavalley, Niklas Reisser, Mulle Arndt, Carmen Lammerding, Andrew Wakelin, Lauren Elizabeth, Alex Hunter, Stewart Widger, Peter Fraser, Rachel Lockwood, Ashlea Quirk, Ger Sheehan, Hikaru Toyama, Paul Middleditch, Paul Johnston, Ella Keys, Rory Whitfield, Menno van der Laan, Anna Quartero, Danni Blizzard"
33 (G),12:25,39,M D-F 8+,final,A,"Hugh Ritchie, Guy Aitchison, Thomas Taylor, Robert Buddo, Miles McBain, Mark Swinburne, Greg Vanderpeet, Gerry Steenkamer, Jacqueline Griffin, Kerry Dombroski, Desmond Healy, Alan Cleaver, Murray Stewart, Dave Hanley, Andrew Bealing, Kevin Horan, Bruce Tate, Sue O'Leary"
34 (H),12:30,34,W Mst D 2X,final,A,"Susan Sawbridge, Helen Twose, Michelle Reaks, Sharon Bray, Anthea van Greuning, Inge Morton, Gabrielle Gatt, Jo Mackay, Benita Douglas, Alice Beban-France, Kris Jochimsen, Raechel Cummins, Jan Goddard, Stacey Bax, Lisa Hale, Debbie Rowe"
35 (I),13:05,44,W Mst B 1X,final,A,"Eleanor Chichester, Constanze Duell, Nicola Goss"
36 (J),13:10,45,W Mst A 2X,final,A,"Stacey Wyatt, Jaedyn Thompson, Hikaru Toyama, Ella Keys, Sarah Brennan, Chloe Readman-Bell, Natasha Baldwin, Emilee Butler, Carmen Lammerding, Karen Verwey"
37 (K),13:15,46,W Mst C 1X,final,A,"Gabrielle Gatt, Stacey Bax, Kris Jochimsen, Caroline Robertson"
38 (L),13:20,47I,Mst 2X,final,A,"Ashlea Quirk, Naomi Carter, Susan Sawbridge, Ian Winson, Pita Shelford, Neville Robertson"
39 (M),13:25,48,M Mst C 4X-,final,A,"Nick Hanna, Luke Edhouse, Nicholas Dawe, Jason O'Callaghan, Tim Russell, Josh Adam, Adam Howie, Hamish Peters, Peter Fraser, Ger Sheehan, Scott Alderson, Nathan Jones"
40 (N),13:30,49,M Mst B 1X,final,A,"Niklas Reisser, Stewart Widger, Wing Kam"
41 (O),13:35,50,Mx MNw 2X,division,1,"Rose Sharp, Simon Harper, Jacqueline Griffin, Wayne Bickers, Michelle Reaks, Parkwai Mak, Matt Bailey, Elly Arnst, Vanessa Mace, David Speed, Sarah Sinclair, Nathan Reeve"
42 (P),13:40,50,Mx MNw 2X,division,2,"Julie Glen, Josh Kempthorne, Sophia Bidwell, Mulle Arndt, Riaan van Greuning, Anthea van Greuning, Karen Billinghurst, Garritt van Dyk, Amanda Taylor, Glen Strachan, Faith McGregor, Wade Vivian"
43 (Q),13:45,50,Mx MNw 2X,division,3,"Paul Isitt, Trish Rice, Andrew Webster, Rose Lampen-Smith, Emma Lowe, Thomas Taylor, Mandy Good, Evans Chogumaira, Raewynn White, Hugh Ritchie"
44 (R),13:50,51,Mx MNv 2X,final,A,"Stuart Fraser, Hayley Tamati, Danielle Davies, Wiebe Baron, Felicity Newport, Menno van der Laan, Lisa Somerset, Quentin de Groot, Bradley Taylor, Kimberley Jenkinson"
45 (S),13:55,53,Mx D-F 8+,final,A,"Amanda Johnstone, Lisa Hale, Mark Edgecombe, Dave Derecourt, Stephen Porteners, Richard Rennie, Lena Cassidy-Clark, Debbie Rowe, Grace Iremonger, Richard May, Michael Instone, Jo-Anne Stokes, Deidre Sheppard, Derek Wanders, Myles Johnson, Lynda Jelbert, Maria Chandler, Isaac Jelbert, Paul Middleditch, Simon Carey, Simon Taylor, Paul Johnston, Kathryn Sigley, Sarah Middleditch, Nicki McGuigan, Ella Keys, Hikaru Toyama, Catherine Kappelle, Amandine Frezouls, Amanda Richards, Liz Jarmey, Richard Moir, Valentin Frezouls, Chas Todhunter, Andreas Giannakogiorgos, Jayden Wooller, Susan Reade, Tamara Tesolin, Robert Young, Bryan Beardshaw, Evan Brown, Sam Pickles, Joanne Waller, Raechel Cummins, Cathy Stinear, Lynaree Burns, Alice Beban-France, Heidi Oliver, Benita Douglas, Scott Griffin, Mark Swinburne, Miles McBain, Gerry Steenkamer, Debbie Sunnex"
46 (T),14:00,52,Mx G-M 4X-,final,A,"Liz MacFarlan, Mike Harrison, John de Pont, Alison McLeod, Sharon Ducker, Richie McFelin, Alan Cleaver, Trudy Moulden, Yvonne Kasper, Tony Corkery, Carolyn Harrison, Chris Fotherby"
47 (U),14:35,57,M Mst F 2-,final,A,"Robert Young, Bryan Beardshaw, Guy Aitchison, Greg Vanderpeet, Kelvin Maker, Peter Fraser"
48 (V),14:40,58,M Mst E 1X,final,A,"Martin Sharrock, Steve Glen, Steve Westlake, David Harris, Ger Sheehan"
49 (W),14:45,60,W Mst E 1X,final,A,"Jan Goddard, Jo Mackay"
50 (X),14:50,62,M G-M 2-,final,A,"Chris Fotherby, John de Pont, Kevin Horan, Bruce Tate, Kerry Dombroski, Dave Hanley"
51 (Y),14:55,63,W MNw 1X,final,A,"Maryam Naminimianji, Sophia Bidwell, Naomi Carter, Vanessa Mace"
52 (Z),15:00,64,W MNv 2X,final,A,"Hayley Tamati, Emma Lowe, Susan Lands, Claudia Hellberg, Karen Billinghurst, Tracey McMillan, Rebecca Jones, Amanda Johnstone, Amanda Taylor, Kimberley Jenkinson, Emily Henderson, Lauren Elizabeth, Faith McGregor, Anna Loftus"
53 (A),15:10,61,W Mst G 4X-,final,A,"Yvonne Kasper, Carolyn Harrison, Sarah Sinclair, Marleen Cleyndert"
53 (A),15:10,65,Mx E-M 4-,final,A,"Bruce Wills, Nick Hanna, Jennifer Nolan, Jacqui Beilby, Elizabeth Cossar, Derek Wanders, Myles Johnson, Maria Chandler, Felicity Newport, Jane Dee, John Hitchcock, Menno van der Laan, Greg Vanderpeet, Lynaree Burns, Mark Swinburne, Debbie Sunnex, Catherine Kappelle, Liz Jarmey, Chas Todhunter, Scott Inglis"
54 (B),15:15,66,W H-M 2X,final,A,"Judy Shadbolt, Alison McLeod, Trish Fenton, Sue Wright"
55 (C),15:20,67,Mx A-D 4-,division,1,"Jaedyn Thompson, Josh Adam, Adam Howie, Stacey Wyatt, Alice Kalmancsi, Eve Mulder, Daniel Norman, Scott Griffin, Natasha Baldwin, Caroline Robertson, Rory Whitfield, Andrew Bealing, Julie Samuelson, Luke Edhouse, Nicholas Dawe, Kristy Edhouse"
56 (D),15:25,67,Mx A-D 4-,division,2,"Adrienne Edwards, Jane Higgins, Richard Moir, Valentin Frezouls, Ella Keys, Simon Taylor, Simon Carey, Nicki McGuigan, Alice Beban-France, Benita Douglas, Gerry Steenkamer, Miles McBain, Paul Johnston, Paul Middleditch, Sarah Middleditch, Kathryn Sigley, Rose Lampen-Smith, Inge Morton, Nathan Reeve, Mladen Macanovic"
57 (E),15:30,68,M MNw 1X,final,A,"Pita Shelford, Wayne Bickers, Evans Chogumaira, Andrew Webster, Mulle Arndt, Glen Strachan"
58 (F),15:35,69,M MNv 2X,final,A,"Wiebe Baron, Parkwai Mak, Josh Kempthorne, Michael Instone, Stuart Fraser, Quentin de Groot"

DAY 2: Sunday 20th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
59 (A),08:00,73,Mx D-F 2X,division,1,"Jane Dee, Dave Hanley, Jane Higgins, Richard Moir, Raewynn White, Greg Vanderpeet, Sharon Bray, Steve Westlake, Derek Wanders, Deidre Sheppard, Kris Jochimsen, Evan Brown"
60 (B),08:05,73,Mx D-F 2X,division,2,"Michelle Reaks, Jerome Feuillade, Amanda Richards, Scott Inglis, Vanessa Mace, Phillip Lee, Leona Walpert, Menno van der Laan, Sylvain Livernois, Donna Southwick, Mladen Macanovic, Inge Morton"
61 (C),08:10,73,Mx D-F 2X,division,3,"Debbie Rowe, Richard Rennie, Julie Glen, Steve Glen, Sarah Sinclair, Andrew Webster, Colin Wright, Jane McGimpsey, Paula Pope, Myles Johnson, Paul Isitt, Trish Rice, John Hitchcock, Felicity Newport"
62 (D),08:15,73,Mx D-F 2X,division,4,"Benita Douglas, Gerry Steenkamer, Kevin O'Hagan, Louise O'Hagan, Michelle de Jong, Guy Aitchison, Raima Turner-Abrahams, David Harris, Trudy Moulden, Richie McFelin, Joanne Waller, Bryan Beardshaw"
